nr,name,type,category,
1, CIE F1,Fluorescent Broadband,Model,
2, CIE F2,Fluorescent Broadband,Model,
3, CIE F3,Fluorescent Broadband,Model,
4, CIE F4,Fluorescent Broadband,Model,
5, CIE F5,Fluorescent Broadband,Model,
6, CIE F6,Fluorescent Broadband,Model,
7, CIE F7,Fluorescent Broadband,Model,
8, CIE F8,Fluorescent Broadband,Model,
9, CIE F9,Fluorescent Broadband,Model,
10, CIE F10,Fluorescent Narrowband,Model,
11, CIE F11,Fluorescent Narrowband,Model,
12, CIE F12,Fluorescent Narrowband,Model,
13, F32T8/930,Fluorescent Broadband,Commercial,
14, F32T8/950,Fluorescent Broadband,Commercial,
15, F34T12/CW/RS/EW,Fluorescent Broadband,Commercial,
16, F34T12/LW/RS/EW,Fluorescent Broadband,Commercial,
17, F34T12/WW/RS/EW,Fluorescent Broadband,Commercial,
18, F40T12/C50 (1),Fluorescent Broadband,Commercial,
19, F40T12/C50 (2),Fluorescent Broadband,Commercial,
20, F40T12/C75 (1),Fluorescent Broadband,Commercial,
21, F40T12/C75 (2),Fluorescent Broadband,Commercial,
22, F40T12/CWX (1),Fluorescent Broadband,Commercial,
23, F40T12/CWX (2),Fluorescent Broadband,Commercial,
24, F40T12/DX (1),Fluorescent Broadband,Commercial,
25, F40T12/DX (2),Fluorescent Broadband,Commercial,
26, F40T12/DXTP (1),Fluorescent Broadband,Commercial,
27, F40T12/DXTP (2),Fluorescent Broadband,Commercial,
28, F40T12/N (1),Fluorescent Broadband,Commercial,
29, F40T12/N (2),Fluorescent Broadband,Commercial,
30, F32T8/730,Fluorescent Narrowband,Commercial,
31, F32T8/735,Fluorescent Narrowband,Commercial,
32, F32T8/741,Fluorescent Narrowband,Commercial,
33, F32T8/750,Fluorescent Narrowband,Commercial,
34, F32T8/830 (1),Fluorescent Narrowband,Commercial,
35, F32T8/830 (2),Fluorescent Narrowband,Commercial,
36, F32T8/830 (3),Fluorescent Narrowband,Commercial,
37, F32T8/835 (1),Fluorescent Narrowband,Commercial,
