wl, 	phot. 2° obs, 	scot., Vlam/macula, Scone/macula, Melanopsin*lens
0,	0.00000E+00,	0.0000E+00,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
379,	0.00000E+00,	0.0000E+00,	0.0000E+00,	0.0000E+00,	0.0000000000E+00
380,	3.90000E-05,	5.8900E-04,	0.0000E+00,	0.0000E+00,	1.2091816743E-03
382,	4.69150E-05,	7.5200E-04,	0.0000E+00,	0.0000E+00,	1.8770114090E-03
384,	5.71760E-05,	9.7200E-04,	0.0000E+00,	0.0000E+00,	2.7106132352E-03
386,	7.23440E-05,	1.2680E-03,	0.0000E+00,	0.0000E+00,	3.7444193767E-03
388,	9.35080E-05,	1.6680E-03,	0.0000E+00,	0.0000E+00,	4.8808015637E-03
390,	1.20000E-04,	2.2090E-03,	1.0000E-04,	2.9000E-03,	6.0921712158E-03
392,	1.51490E-04,	2.9390E-03,	1.0000E-04,	1.5300E-02,	9.0993629914E-03
394,	1.91820E-04,	3.9210E-03,	2.0000E-04,	2.7700E-02,	1.2593134560E-02
396,	2.46910E-04,	5.2400E-03,	2.0000E-04,	4.0100E-02,	1.6610707345E-02
398,	3.18520E-04,	6.9800E-03,	3.0000E-04,	5.2600E-02,	2.1070142833E-02
400,	3.96000E-04,	9.2900E-03,	7.0000E-04,	1.0880E-01,	2.5947437172E-02
402,	4.73020E-04,	1.2310E-02,	8.0000E-04,	1.3490E-01,	3.5432854284E-02
404,	5.72220E-04,	1.6190E-02,	1.0000E-03,	1.6190E-01,	4.5898853245E-02
406,	7.24560E-04,	2.1130E-02,	1.3000E-03,	1.8980E-01,	5.7306922688E-02
408,	9.41160E-04,	2.7300E-02,	1.7000E-03,	2.1880E-01,	7.0101599411E-02
410,	1.21000E-03,	3.4840E-02,	2.2000E-03,	2.4880E-01,	8.4430354655E-02
412,	1.53080E-03,	4.3900E-02,	2.8000E-03,	2.9470E-01,	1.0466961996E-01
414,	1.93530E-03,	5.4500E-02,	3.6000E-03,	3.4230E-01,	1.2620280525E-01
416,	2.45480E-03,	6.6800E-02,	4.7000E-03,	3.9350E-01,	1.4884959011E-01
418,	3.11780E-03,	8.0800E-02,	6.1000E-03,	4.4940E-01,	1.7402786495E-01
420,	4.00000E-03,	9.6600E-02,	8.1000E-03,	5.0860E-01,	2.0209406242E-01
422,	5.15930E-03,	1.1410E-01,	1.0800E-02,	5.6550E-01,	2.3361424265E-01
424,	6.54620E-03,	1.3340E-01,	1.4200E-02,	6.2650E-01,	2.6635174614E-01
426,	8.08650E-03,	1.5410E-01,	1.8100E-02,	6.8840E-01,	2.9985038668E-01
428,	9.76770E-03,	1.7640E-01,	2.2500E-02,	7.5020E-01,	3.3516111163E-01
430,	1.16000E-02,	1.9980E-01,	2.7500E-02,	8.1550E-01,	3.7241056547E-01
432,	1.35830E-02,	2.2430E-01,	3.2700E-02,	8.4580E-01,	4.0395124643E-01
434,	1.57150E-02,	2.4960E-01,	3.8400E-02,	8.7690E-01,	4.3599540528E-01
436,	1.80070E-02,	2.7550E-01,	4.4700E-02,	9.0880E-01,	4.6841266739E-01
438,	2.04540E-02,	3.0170E-01,	5.1600E-02,	9.4150E-01,	5.0201156149E-01
