,H,V,C,h,a,b
0,2.5R,9.0,2.0,153.0,-1.78201,0.90798
1,2.5R,8.0,2.0,153.0,-1.78201,0.90798
2,2.5R,7.0,2.0,153.0,-1.78201,0.90798
3,2.5R,6.0,2.0,153.0,-1.78201,0.90798
4,2.5R,5.0,2.0,153.0,-1.78201,0.90798
5,2.5R,4.0,2.0,153.0,-1.78201,0.90798
6,2.5R,3.0,2.0,153.0,-1.78201,0.90798
7,2.5R,2.5,2.0,153.0,-1.78201,0.90798
8,2.5R,8.0,4.0,153.0,-3.56403,1.81596
9,2.5R,7.0,4.0,153.0,-3.56403,1.81596
10,2.5R,6.0,4.0,153.0,-3.56403,1.81596
11,2.5R,5.0,4.0,153.0,-3.56403,1.81596
12,2.5R,4.0,4.0,153.0,-3.56403,1.81596
13,2.5R,3.0,4.0,153.0,-3.56403,1.81596
14,2.5R,7.0,6.0,153.0,-5.34604,2.72394
15,2.5R,6.0,6.0,153.0,-5.34604,2.72394
16,2.5R,5.0,6.0,153.0,-5.34604,2.72394
17,2.5R,4.0,6.0,153.0,-5.34604,2.72394
18,2.5R,3.0,6.0,153.0,-5.34604,2.72394
19,2.5R,7.0,8.0,153.0,-7.12805,3.63192
20,2.5R,6.0,8.0,153.0,-7.12805,3.63192
21,2.5R,5.0,8.0,153.0,-7.12805,3.63192
22,2.5R,4.0,8.0,153.0,-7.12805,3.63192
23,2.5R,7.0,10.0,153.0,-8.91007,4.5399
24,2.5R,6.0,10.0,153.0,-8.91007,4.5399
25,2.5R,5.0,10.0,153.0,-8.91007,4.5399
26,2.5R,4.0,10.0,153.0,-8.91007,4.5399
27,2.5R,6.0,12.0,153.0,-10.69208,5.44789
28,2.5R,5.0,12.0,153.0,-10.69208,5.44789
29,2.5R,4.0,12.0,153.0,-10.69208,5.44789
30,5R,9.0,1.0,162.0,-0.95106,0.30902
31,5R,8.0,1.0,162.0,-0.95106,0.30902
32,5R,7.0,1.0,162.0,-0.95106,0.30902
33,5R,6.0,1.0,162.0,-0.95106,0.30902
34,5R,5.0,1.0,162.0,-0.95106,0.30902
35,5R,4.0,1.0,162.0,-0.95106,0.30902
36,5R,3.0,1.0,162.0,-0.95106,0.30902
37,5R,2.5,1.0,162.0,-0.95106,0.30902
38,5R,9.0,2.0,162.0,-1.90211,0.61803
39,5R,8.0,2.0,162.0,-1.90211,0.61803
40,5R,7.0,2.0,162.0,-1.90211,0.61803
41,5R,6.0,2.0,162.0,-1.90211,0.61803
42,5R,5.0,2.0,162.0,-1.90211,0.61803
43,5R,4.0,2.0,162.0,-1.90211,0.61803
44,5R,3.0,2.0,162.0,-1.90211,0.61803
45,5R,2.5,2.0,162.0,-1.90211,0.61803
46,5R,8.0,4.0,162.0,-3.80423,1.23607
47,5R,7.0,4.0,162.0,-3.80423,1.23607
48,5R,6.0,4.0,162.0,-3.80423,1.23607
49,5R,5.0,4.0,162.0,-3.80423,1.23607
50,5R,4.0,4.0,162.0,-3.80423,1.23607
51,5R,3.0,4.0,162.0,-3.80423,1.23607
52,5R,7.0,6.0,162.0,-5.70634,1.8541
53,5R,6.0,6.0,162.0,-5.70634,1.8541
54,5R,5.0,6.0,162.0,-5.70634,1.8541
55,5R,4.0,6.0,162.0,-5.70634,1.8541
56,5R,3.0,6.0,162.0,-5.70634,1.8541
57,5R,7.0,8.0,162.0,-7.60845,2.47214
58,5R,6.0,8.0,162.0,-7.60845,2.47214
59,5R,5.0,8.0,162.0,-7.60845,2.47214
60,5R,4.0,8.0,162.0,-7.60845,2.47214
61,5R,7.0,10.0,162.0,-9.51057,3.09017
62,5R,6.0,10.0,162.0,-9.51057,3.09017
63,5R,5.0,10.0,162.0,-9.51057,3.09017
64,5R,4.0,10.0,162.0,-9.51057,3.09017
65,5R,6.0,12.0,162.0,-11.41268,3.7082
66,5R,5.0,12.0,162.0,-11.41268,3.7082
67,5R,4.0,12.0,162.0,-11.41268,3.7082
68,5R,6.0,14.0,162.0,-13.31479,4.32624
69,5R,5.0,14.0,162.0,-13.31479,4.32624
70,5R,4.0,14.0,162.0,-13.31479,4.32624
71,7.5R,9.0,2.0,171.0,-1.97538,0.31287
72,7.5R,8.0,2.0,171.0,-1.97538,0.31287
73,7.5R,7.0,2.0,171.0,-1.97538,0.31287
74,7.5R,6.0,2.0,171.0,-1.97538,0.31287
75,7.5R,5.0,2.0,171.0,-1.97538,0.31287
76,7.5R,4.0,2.0,171.0,-1.97538,0.31287
77,7.5R,3.0,2.0,171.0,-1.97538,0.31287
78,7.5R,2.5,2.0,171.0,-1.97538,0.31287
79,7.5R,8.0,4.0,171.0,-3.95075,0.62574
80,7.5R,7.0,4.0,171.0,-3.95075,0.62574
81,7.5R,6.0,4.0,171.0,-3.95075,0.62574
82,7.5R,5.0,4.0,171.0,-3.95075,0.62574
83,7.5R,4.0,4.0,171.0,-3.95075,0.62574
84,7.5R,3.0,4.0,171.0,-3.95075,0.62574
85,7.5R,7.0,6.0,171.0,-5.92613,0.93861
86,7.5R,6.0,6.0,171.0,-5.92613,0.93861
87,7.5R,5.0,6.0,171.0,-5.92613,0.93861
88,7.5R,4.0,6.0,171.0,-5.92613,0.93861
89,7.5R,3.0,6.0,171.0,-5.92613,0.93861
90,7.5R,7.0,8.0,171.0,-7.90151,1.25148
91,7.5R,6.0,8.0,171.0,-7.90151,1.25148
92,7.5R,5.0,8.0,171.0,-7.90151,1.25148
93,7.5R,4.0,8.0,171.0,-7.90151,1.25148
94,7.5R,7.0,10.0,171.0,-9.87688,1.56434
95,7.5R,6.0,10.0,171.0,-9.87688,1.56434
96,7.5R,5.0,10.0,171.0,-9.87688,1.56434
97,7.5R,4.0,10.0,171.0,-9.87688,1.56434
98,7.5R,6.0,12.0,171.0,-11.85226,1.87721
99,7.5R,5.0,12.0,171.0,-11.85226,1.87721
100,7.5R,4.0,12.0,171.0,-11.85226,1.87721
101,10R,9.0,1.0,180.0,-1.0,0.0
102,10R,8.0,1.0,180.0,-1.0,0.0
103,10R,7.0,1.0,180.0,-1.0,0.0
104,10R,6.0,1.0,180.0,-1.0,0.0
105,10R,5.0,1.0,180.0,-1.0,0.0
106,10R,4.0,1.0,180.0,-1.0,0.0
107,10R,3.0,1.0,180.0,-1.0,0.0
108,10R,2.5,1.0,180.0,-1.0,0.0
109,10R,9.0,2.0,180.0,-2.0,0.0
110,10R,8.0,2.0,180.0,-2.0,0.0
111,10R,7.0,2.0,180.0,-2.0,0.0
112,10R,6.0,2.0,180.0,-2.0,0.0
113,10R,5.0,2.0,180.0,-2.0,0.0
114,10R,4.0,2.0,180.0,-2.0,0.0
115,10R,3.0,2.0,180.0,-2.0,0.0
116,10R,2.5,2.0,180.0,-2.0,0.0
117,10R,8.0,4.0,180.0,-4.0,0.0
118,10R,7.0,4.0,180.0,-4.0,0.0
119,10R,6.0,4.0,180.0,-4.0,0.0
120,10R,5.0,4.0,180.0,-4.0,0.0
121,10R,4.0,4.0,180.0,-4.0,0.0
122,10R,3.0,4.0,180.0,-4.0,0.0
123,10R,8.0,6.0,180.0,-6.0,0.0
124,10R,7.0,6.0,180.0,-6.0,0.0
125,10R,6.0,6.0,180.0,-6.0,0.0
126,10R,5.0,6.0,180.0,-6.0,0.0
127,10R,4.0,6.0,180.0,-6.0,0.0
128,10R,8.0,8.0,180.0,-8.0,0.0
129,10R,7.0,8.0,180.0,-8.0,0.0
130,10R,6.0,8.0,180.0,-8.0,0.0
131,10R,5.0,8.0,180.0,-8.0,0.0
132,10R,4.0,8.0,180.0,-8.0,0.0
133,10R,7.0,10.0,180.0,-10.0,0.0
134,10R,6.0,10.0,180.0,-10.0,0.0
135,10R,5.0,10.0,180.0,-10.0,0.0
136,10R,7.0,12.0,180.0,-12.0,0.0
137,10R,6.0,12.0,180.0,-12.0,0.0
138,10R,5.0,12.0,180.0,-12.0,0.0
139,2.5YR,9.0,2.0,117.0,-0.90798,1.78201
140,2.5YR,8.0,2.0,117.0,-0.90798,1.78201
141,2.5YR,7.0,2.0,117.0,-0.90798,1.78201
142,2.5YR,6.0,2.0,117.0,-0.90798,1.78201
143,2.5YR,5.0,2.0,117.0,-0.90798,1.78201
144,2.5YR,4.0,2.0,117.0,-0.90798,1.78201
145,2.5YR,3.0,2.0,117.0,-0.90798,1.78201
146,2.5YR,2.5,2.0,117.0,-0.90798,1.78201
147,2.5YR,8.0,4.0,117.0,-1.81596,3.56403
148,2.5YR,7.0,4.0,117.0,-1.81596,3.56403
149,2.5YR,6.0,4.0,117.0,-1.81596,3.56403
150,2.5YR,5.0,4.0,117.0,-1.81596,3.56403
151,2.5YR,4.0,4.0,117.0,-1.81596,3.56403
152,2.5YR,8.0,6.0,117.0,-2.72394,5.34604
153,2.5YR,7.0,6.0,117.0,-2.72394,5.34604
154,2.5YR,6.0,6.0,117.0,-2.72394,5.34604
155,2.5YR,5.0,6.0,117.0,-2.72394,5.34604
156,2.5YR,4.0,6.0,117.0,-2.72394,5.34604
157,2.5YR,8.0,8.0,117.0,-3.63192,7.12805
158,2.5YR,7.0,8.0,117.0,-3.63192,7.12805
159,2.5YR,6.0,8.0,117.0,-3.63192,7.12805
160,2.5YR,5.0,8.0,117.0,-3.63192,7.12805
161,2.5YR,4.0,8.0,117.0,-3.63192,7.12805
162,2.5YR,7.0,10.0,117.0,-4.5399,8.91007
163,2.5YR,6.0,10.0,117.0,-4.5399,8.91007
164,2.5YR,5.0,10.0,117.0,-4.5399,8.91007
165,2.5YR,7.0,12.0,117.0,-5.44789,10.69208
166,2.5YR,6.0,12.0,117.0,-5.44789,10.69208
167,2.5YR,6.0,14.0,117.0,-6.35587,12.47409
168,5YR,9.0,1.0,126.0,-0.58779,0.80902
169,5YR,8.0,1.0,126.0,-0.58779,0.80902
170,5YR,7.0,1.0,126.0,-0.58779,0.80902
171,5YR,6.0,1.0,126.0,-0.58779,0.80902
172,5YR,5.0,1.0,126.0,-0.58779,0.80902
173,5YR,4.0,1.0,126.0,-0.58779,0.80902
174,5YR,3.0,1.0,126.0,-0.58779,0.80902
175,5YR,2.5,1.0,126.0,-0.58779,0.80902
176,5YR,9.0,2.0,126.0,-1.17557,1.61803
177,5YR,8.0,2.0,126.0,-1.17557,1.61803
178,5YR,7.0,2.0,126.0,-1.17557,1.61803
179,5YR,6.0,2.0,126.0,-1.17557,1.61803
180,5YR,5.0,2.0,126.0,-1.17557,1.61803
181,5YR,4.0,2.0,126.0,-1.17557,1.61803
182,5YR,3.0,2.0,126.0,-1.17557,1.61803
183,5YR,9.0,4.0,126.0,-2.35114,3.23607
184,5YR,8.0,4.0,126.0,-2.35114,3.23607
185,5YR,7.0,4.0,126.0,-2.35114,3.23607
186,5YR,6.0,4.0,126.0,-2.35114,3.23607
187,5YR,5.0,4.0,126.0,-2.35114,3.23607
188,5YR,4.0,4.0,126.0,-2.35114,3.23607
189,5YR,8.0,6.0,126.0,-3.52671,4.8541
190,5YR,7.0,6.0,126.0,-3.52671,4.8541
191,5YR,6.0,6.0,126.0,-3.52671,4.8541
192,5YR,5.0,6.0,126.0,-3.52671,4.8541
193,5YR,4.0,6.0,126.0,-3.52671,4.8541
194,5YR,8.0,8.0,126.0,-4.70228,6.47214
195,5YR,7.0,8.0,126.0,-4.70228,6.47214
196,5YR,6.0,8.0,126.0,-4.70228,6.47214
197,5YR,5.0,8.0,126.0,-4.70228,6.47214
198,5YR,7.0,10.0,126.0,-5.87785,8.09017
199,5YR,6.0,10.0,126.0,-5.87785,8.09017
200,5YR,7.0,12.0,126.0,-7.05342,9.7082
201,5YR,6.0,12.0,126.0,-7.05342,9.7082
202,7.5YR,9.0,2.0,135.0,-1.41421,1.41421
203,7.5YR,8.0,2.0,135.0,-1.41421,1.41421
204,7.5YR,7.0,2.0,135.0,-1.41421,1.41421
205,7.5YR,6.0,2.0,135.0,-1.41421,1.41421
206,7.5YR,5.0,2.0,135.0,-1.41421,1.41421
207,7.5YR,4.0,2.0,135.0,-1.41421,1.41421
208,7.5YR,3.0,2.0,135.0,-1.41421,1.41421
209,7.5YR,9.0,4.0,135.0,-2.82843,2.82843
210,7.5YR,8.0,4.0,135.0,-2.82843,2.82843
211,7.5YR,7.0,4.0,135.0,-2.82843,2.82843
212,7.5YR,6.0,4.0,135.0,-2.82843,2.82843
213,7.5YR,5.0,4.0,135.0,-2.82843,2.82843
214,7.5YR,4.0,4.0,135.0,-2.82843,2.82843
215,7.5YR,8.0,6.0,135.0,-4.24264,4.24264
216,7.5YR,7.0,6.0,135.0,-4.24264,4.24264
217,7.5YR,6.0,6.0,135.0,-4.24264,4.24264
218,7.5YR,5.0,6.0,135.0,-4.24264,4.24264
219,7.5YR,4.0,6.0,135.0,-4.24264,4.24264
220,7.5YR,8.0,8.0,135.0,-5.65685,5.65685
221,7.5YR,7.0,8.0,135.0,-5.65685,5.65685
222,7.5YR,6.0,8.0,135.0,-5.65685,5.65685
223,7.5YR,5.0,8.0,135.0,-5.65685,5.65685
224,7.5YR,8.0,10.0,135.0,-7.07107,7.07107
225,7.5YR,7.0,10.0,135.0,-7.07107,7.07107
226,7.5YR,6.0,10.0,135.0,-7.07107,7.07107
227,7.5YR,7.0,12.0,135.0,-8.48528,8.48528
228,10YR,9.0,1.0,144.0,-0.80902,0.58779
229,10YR,8.0,1.0,144.0,-0.80902,0.58779
230,10YR,7.0,1.0,144.0,-0.80902,0.58779
231,10YR,6.0,1.0,144.0,-0.80902,0.58779
232,10YR,5.0,1.0,144.0,-0.80902,0.58779
233,10YR,4.0,1.0,144.0,-0.80902,0.58779
234,10YR,3.0,1.0,144.0,-0.80902,0.58779
235,10YR,2.5,1.0,144.0,-0.80902,0.58779
236,10YR,9.0,2.0,144.0,-1.61803,1.17557
237,10YR,8.0,2.0,144.0,-1.61803,1.17557
