380,0,0,0,0,0,0,0,0.01,0.01
381,0,0,0,0,0,0,0,0.01,0.02
382,0,0,0,0,0,0,0,0.01,0.02
383,0,0,0,0,0,0.01,0,0.02,0.03
384,0,0,0,0,0.01,0.01,0,0.02,0.04
385,0.01,0,0,0,0.01,0.01,0,0.03,0.06
386,0.01,0,0.01,0,0.01,0.01,0,0.04,0.08
387,0.01,0,0.01,0,0.01,0.01,0,0.06,0.1
388,0.01,0,0.01,0,0.01,0.01,0,0.08,0.14
389,0.01,0,0.01,0,0.01,0.01,0,0.1,0.19
390,0.01,0,0.01,0,0.01,0.02,0,0.14,0.26
391,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.19,0.35
392,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.25,0.47
393,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.34,0.63
394,0.02,0.01,0.02,0.01,0.03,0.03,0.01,0.45,0.85
395,0.02,0.01,0.02,0.01,0.03,0.04,0.01,0.61,1.15
396,0.02,0.01,0.03,0.01,0.04,0.04,0.01,0.81,1.54
397,0.03,0.01,0.03,0.02,0.04,0.05,0.01,1.1,2.05
398,0.03,0.02,0.04,0.02,0.05,0.06,0.02,1.48,2.7
399,0.03,0.02,0.04,0.03,0.06,0.07,0.02,1.98,3.5
400,0.04,0.02,0.05,0.03,0.07,0.08,0.02,2.62,4.47
401,0.04,0.03,0.06,0.04,0.08,0.09,0.03,3.42,5.61
402,0.05,0.03,0.07,0.04,0.1,0.11,0.03,4.4,6.95
403,0.06,0.04,0.08,0.05,0.11,0.12,0.04,5.55,8.47
404,0.07,0.04,0.09,0.07,0.13,0.15,0.04,6.9,10.16
405,0.07,0.05,0.11,0.08,0.16,0.17,0.05,8.43,11.98
406,0.09,0.06,0.13,0.1,0.18,0.21,0.06,10.08,13.84
407,0.1,0.07,0.15,0.12,0.22,0.24,0.07,11.78,15.63
408,0.11,0.08,0.18,0.14,0.25,0.29,0.08,13.45,17.25
409,0.13,0.09,0.21,0.17,0.3,0.34,0.09,15.06,18.69
410,0.15,0.11,0.25,0.21,0.35,0.41,0.11,16.51,19.89
411,0.16,0.13,0.29,0.25,0.41,0.49,0.13,17.64,20.71
412,0.19,0.15,0.34,0.3,0.48,0.58,0.15,18.36,21.13
