nm, 	erythropic,	chloropic,	cyanopic,	rhodopic,	melanopic	
360, 	0.0, 		0.0, 		0.0,		0.0, 	 	0.0 		
365, 	0.0, 		0.0, 		0.0,		0.0, 	 	0.0 		
370, 	0.0, 		0.0, 		0.0,		0.0, 	 	0.0 		
375, 	0.0, 		0.0, 		0.0,		0.0, 	 	0.0 		
380,	0.000854,	0.000925,	0.005359,	0.001066,	0.000918 	
385,	0.001497,	0.001599,	0.010430,	0.001870,	0.001667 	
390,	0.002603,	0.002753,	0.020129,	0.003318,	0.003094 	
395,	0.004494,	0.004730,	0.038472,	0.005985,	0.005880 	
400,	0.007716,	0.008141,	0.072770,	0.011015,	0.011428 	
405,	0.013298,	0.014205,	0.137263,	0.020882,	0.022811 	
410,	0.022871,	0.025049,	0.256027,	0.040405,	0.046155 	
415,	0.033238,	0.037872,	0.398484,	0.067142,	0.079477 	
420,	0.048512,	0.058388,	0.612419,	0.112921,	0.137237 	
425,	0.056464,	0.072758,	0.733884,	0.151163,	0.187096 	
430,	0.066584,	0.092704,	0.865686,	0.202703,	0.253865 	
435,	0.074907,	0.112993,	0.940226,	0.254260,	0.320679 	
440,	0.086031,	0.139966,	1.000000,	0.317259,	0.401587 	
445,	0.096152,	0.166873,	0.987864,	0.374036,	0.474002 	
450,	0.109821,	0.200205,	0.948709,	0.437301,	0.553715 	
455,	0.125811,	0.236782,	0.867729,	0.498642,	0.629654 	
460,	0.146325,	0.279535,	0.764403,	0.563511,	0.708049 	
465,	0.171578,	0.327760,	0.643814,	0.629797,	0.785216 	
470,	0.202373,	0.381852,	0.517367,	0.697943,	0.860291 	
475,	0.235850,	0.435454,	0.390269,	0.756678,	0.917734 	
480,	0.274458,	0.492519,	0.280372,	0.813947,	0.965605 	
485,	0.314841,	0.546686,	0.190657,	0.859894,	0.990621 	
490,	0.359094,	0.601746,	0.124892,	0.901470,	1.000000 	
495,	0.406743,	0.656974,	0.079498,	0.937598,	0.992022 	
500,	0.457225,	0.711676,	0.049601,	0.967029,	0.965952 	
505,	0.509921,	0.765178,	0.030566,	0.988343,	0.922299 	
510,	0.564184,	0.816806,	0.018718,	1.000000,	0.862888 	
515,	0.615106,	0.859894,	0.011364,	0.993562,	0.785233 	
520,	0.665585,	0.899042,	0.006911,	0.974747,	0.699628 	
525,	0.714202,	0.932393,	0.004215,	0.941753,	0.609422 	
530,	0.761105,	0.960070,	0.002585,	0.895692,	0.519309 	
535,	0.805752,	0.981094,	0.001595,	0.837321,	0.432533 	
540,	0.847592,	0.994393,	0.000992,	0.768228,	0.351707 	
545,	0.887068,	1.000000,	0.000622,	0.691538,	0.279135 	
550,	0.922601,	0.995680,	0.000393,	0.609134,	0.215722 	
555,	0.952362,	0.979366,	0.000250,	0.523584,	0.162056 	
560,	0.976562,	0.951631,	0.000160,	0.438945,	0.118526 	
565,	0.992014,	0.910280,	0.000103,	0.357509,	0.084346 	
570,	1.000000,	0.858148,	0.000067,	0.283185,	0.058701 	
575,	0.997299,	0.794610,	0.000044,	0.217533,	0.040009 	
580,	0.985415,	0.723594,	0.000029,	0.162507,	0.026875 	
585,	0.963756,	0.647346,	0.000019,	0.118265,	0.017862 	
590,	0.932035,	0.568341,	0.000013,	0.084083,	0.011790 	
595,	0.888338,	0.487983,	0.000009,	0.058481,	0.007734 	
600,	0.835569,	0.410189,	0.000006,	0.040042,	0.005067 	
605,	0.774008,	0.336756,	0.000004,	0.027067,	0.003318 	
610,	0.706300,	0.270062,	0.000003,	0.018150,	0.002177 	
615,	0.634366,	0.211444,	0.000002,	0.012111,	0.001433 	
620,	0.560288,	0.161653,	0.000001,	0.008062,	0.000947 	
625,	0.485048,	0.120528,	0.000001,	0.005354,	0.000628 	
630,	0.412106,	0.088010,	0.000001,	0.003559,	0.000418 	
635,	0.343266,	0.063104,	0.000000,	0.002373,	0.000280 	
640,	0.280053,	0.044564,	0.000000,	0.001587,	0.000188 	
645,	0.223390,	0.031060,	0.000000,	0.001064,	0.000127 	
