Age,Population
0,	3944153
1,	3978070
2,	4096929
3,	4119040
4,	4063170
5,	4056858
6,	4066381
7,	4030579
8,	4046486
9,	4148353
10,	4172541
11,	4114415
12,	4106243
13,	4118013
14,	4165982
15,	4242820
16,	4316139
17,	4395295
18,	4500855
19,	4585234
20,	4519129
21,	4354294
22,	4264642
23,	4198571
24,	4249363
25,	4262350
26,	4152305
27,	4248869
28,	4215249
29,	4223076
30,	4285668
31,	3970218
32,	3986847
33,	3880150
34,	3839216
35,	3956434
36,	3802087
37,	3934445
38,	4121880
39,	4364796
40,	4383274
41,	4114985
42,	4076104
43,	4105105
44,	4211496
45,	4508868
46,	4519761
47,	4535265
48,	4538796
49,	4605901
50,	4660295
51,	4464631
52,	4500846
53,	4380354
54,	4291999
55,	4254709
56,	4037513
57,	3936386
58,	3794928
59,	3641269
60,	3621131
61,	3492596
62,	3563182
63,	3483884
64,	2657131
65,	2680761
66,	2639141
67,	2649365
68,	2323672
69,	2142324
70,	2043121
71,	1949323
72,	1864275
73,	1736960
74,	1684487
75,	1620077
76,	1471070
77,	1455330
78,	1400123
79,	1371195
80,	1308511
81,	1212865
82,	1161421
83,	1074809
84,	985721
85,	914723
86,	814211
87,	712908
88,	640619
89,	537998
90,	435563
91,	344987
92,	281389
93,	216978
94,	169449
95,	129717
96,	95223
97,	68138
98,	45900
99,	32266
100,53364
