wl,Vlambda,Vprime,Vlambda/mac,Scone/mac,Melanopsin,Scone,ybar
380.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001210000,0.000000000,0.000039000
381.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001520000,0.000000000,0.000042800
382.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001880000,0.000000000,0.000046900
383.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002270000,0.000000000,0.000051600
384.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002710000,0.000000000,0.000057200
385.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003200000,0.000000000,0.000064000
386.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003740000,0.000000000,0.000072300
387.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004350000,0.000000000,0.000082200
388.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004880000,0.000000000,0.000093500
389.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005460000,0.000000000,0.000106136
390.000000000,0.000120017,0.002209000,0.000117677,0.002900852,0.006090000,0.007770000,0.000120000
391.000000000,0.000135766,0.002574000,0.000133118,0.009103896,0.007540000,0.024385000,0.000134984
392.000000000,0.000151514,0.002939000,0.000148559,0.015306940,0.009100000,0.041000000,0.000151492
393.000000000,0.000171679,0.003430000,0.000168331,0.021523051,0.010800000,0.057650000,0.000170208
394.000000000,0.000191844,0.003921000,0.000188102,0.027739162,0.012600000,0.074300000,0.000191816
395.000000000,0.000219393,0.004580500,0.000215114,0.034029941,0.014500000,0.091150000,0.000217000
396.000000000,0.000246942,0.005240000,0.000242126,0.040320720,0.016600000,0.108000000,0.000246907
397.000000000,0.000282754,0.006110000,0.000277240,0.046480830,0.018800000,0.124500000,0.000281240
398.000000000,0.000318566,0.006980000,0.000312353,0.052640940,0.021100000,0.141000000,0.000318520
399.000000000,0.000357311,0.008135000,0.000350343,0.058801050,0.023400000,0.157500000,0.000357267
400.000000000,0.000396057,0.009290000,0.000650436,0.108806233,0.025900000,0.174000000,0.000396000
401.000000000,0.000434574,0.010800000,0.000720175,0.121783606,0.030600000,0.193000000,0.000433715
402.000000000,0.000473091,0.012310000,0.000791192,0.134998894,0.035400000,0.212000000,0.000473024
403.000000000,0.000522696,0.014250000,0.000882238,0.148458699,0.040500000,0.231000000,0.000517876
404.000000000,0.000572301,0.016190000,0.000974984,0.162169872,0.045900000,0.250000000,0.000572219
405.000000000,0.000648482,0.018660000,0.001115181,0.175812122,0.051500000,0.268500000,0.000640000
406.000000000,0.000724664,0.021130000,0.001257508,0.189632783,0.057300000,0.287000000,0.000724560
407.000000000,0.000832979,0.024215000,0.001458718,0.204040217,0.063300000,0.306000000,0.000825500
408.000000000,0.000941295,0.027300000,0.001663650,0.218714226,0.070100000,0.325000000,0.000941160
409.000000000,0.001075734,0.031070000,0.001919012,0.233662278,0.077100000,0.344000000,0.001069880
410.000000000,0.001210173,0.034840000,0.002179188,0.248892123,0.084400000,0.363000000,0.001210000
411.000000000,0.001370572,0.039370000,0.002489334,0.271788552,0.094400000,0.393000000,0.001362091
412.000000000,0.001530971,0.043900000,0.002804882,0.295083852,0.105000000,0.423000000,0.001530752
413.000000000,0.001733285,0.049200000,0.003203445,0.318436673,0.115000000,0.452500000,0.001720368
414.000000000,0.001935600,0.054500000,0.003609073,0.342203529,0.126000000,0.482000000,0.001935323
415.000000000,0.002195376,0.060650000,0.004130057,0.366753686,0.137000000,0.512000000,0.002180000
416.000000000,0.002455152,0.066800000,0.004683290,0.393667275,0.149000000,0.542000000,0.002454800
417.000000000,0.002786699,0.073800000,0.005391046,0.421343534,0.161000000,0.572000000,0.002764000
