nm,erythropic,chloropic,cyanopic,rhodopic,melanopic
360,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
361,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
362,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
363,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
364,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
365,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
366,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
367,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
368,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
369,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
370,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
371,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
372,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
373,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
374,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
375,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
376,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
377,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
378,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
379,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
380,0.0000E+00,0.0000E+00,0.0000E+00,5.8900E-04,9.1817E-04
381,0.0000E+00,0.0000E+00,0.0000E+00,6.6500E-04,1.0456E-03
382,0.0000E+00,0.0000E+00,0.0000E+00,7.5200E-04,1.1786E-03
383,0.0000E+00,0.0000E+00,0.0000E+00,8.5400E-04,1.3228E-03
384,0.0000E+00,0.0000E+00,0.0000E+00,9.7200E-04,1.4838E-03
385,0.0000E+00,0.0000E+00,0.0000E+00,1.1080E-03,1.6672E-03
386,0.0000E+00,0.0000E+00,0.0000E+00,1.2680E-03,1.8810E-03
387,0.0000E+00,0.0000E+00,0.0000E+00,1.4530E-03,2.1299E-03
388,0.0000E+00,0.0000E+00,0.0000E+00,1.6680E-03,2.4146E-03
389,0.0000E+00,0.0000E+00,0.0000E+00,1.9180E-03,2.7358E-03
390,4.0762E-04,3.5823E-04,6.1427E-03,2.2090E-03,3.0944E-03
391,4.9707E-04,4.3866E-04,7.4428E-03,2.5470E-03,3.5071E-03
392,6.0471E-04,5.3623E-04,9.0166E-03,2.9390E-03,3.9908E-03
393,7.3364E-04,6.5406E-04,1.0917E-02,3.3940E-03,4.5468E-03
394,8.8725E-04,7.9565E-04,1.3205E-02,3.9210E-03,5.1763E-03
395,1.0692E-03,9.6483E-04,1.5952E-02,4.5300E-03,5.8804E-03
396,1.2834E-03,1.1657E-03,1.9235E-02,5.2400E-03,6.6933E-03
397,1.5338E-03,1.4026E-03,2.3144E-02,6.0500E-03,7.6510E-03
398,1.8244E-03,1.6799E-03,2.7775E-02,6.9800E-03,8.7569E-03
399,2.1590E-03,2.0018E-03,3.3234E-02,8.0600E-03,1.0015E-02
400,2.5407E-03,2.3721E-03,3.9631E-02,9.2900E-03,1.1428E-02
401,2.9728E-03,2.7943E-03,4.7080E-02,1.0700E-02,1.3077E-02
402,3.4599E-03,3.2737E-03,5.5701E-02,1.2310E-02,1.5040E-02
403,4.0079E-03,3.8166E-03,6.5614E-02,1.4130E-02,1.7317E-02
404,4.6237E-03,4.4302E-03,7.6932E-02,1.6190E-02,1.9907E-02
405,5.3155E-03,5.1232E-03,8.9761E-02,1.8520E-02,2.2811E-02
406,6.0914E-03,5.9046E-03,1.0419E-01,2.1130E-02,2.6319E-02
407,6.9529E-03,6.7801E-03,1.2027E-01,2.4050E-02,3.0596E-02
408,7.8963E-03,7.7526E-03,1.3804E-01,2.7300E-02,3.5454E-02
409,8.9130E-03,8.8229E-03,1.5749E-01,3.0890E-02,4.0703E-02
410,9.9884E-03,9.9884E-03,1.7853E-01,3.4840E-02,4.6155E-02
411,1.1105E-02,1.1245E-02,2.0108E-01,3.9160E-02,5.1782E-02
412,1.2261E-02,1.2595E-02,2.2509E-01,4.3900E-02,5.7780E-02
413,1.3458E-02,1.4043E-02,2.5057E-01,4.9000E-02,6.4297E-02
414,1.4704E-02,1.5594E-02,2.7751E-01,5.4500E-02,7.1480E-02
415,1.6013E-02,1.7260E-02,3.0594E-01,6.0400E-02,7.9477E-02
416,1.7396E-02,1.9047E-02,3.3586E-01,6.6800E-02,8.9181E-02
417,1.8845E-02,2.0955E-02,3.6698E-01,7.3600E-02,1.0076E-01
418,2.0344E-02,2.2976E-02,3.9888E-01,8.0800E-02,1.1326E-01
419,2.1870E-02,2.5102E-02,4.3100E-01,8.8500E-02,1.2573E-01
420,2.3396E-02,2.7316E-02,4.6269E-01,9.6600E-02,1.3724E-01
421,2.4896E-02,2.9606E-02,4.9336E-01,1.0520E-01,1.4745E-01
422,2.6376E-02,3.1975E-02,5.2301E-01,1.1410E-01,1.5701E-01
423,2.7854E-02,3.4433E-02,5.5194E-01,1.2350E-01,1.6646E-01
424,2.9355E-02,3.6998E-02,5.8060E-01,1.3340E-01,1.7632E-01
425,3.0910E-02,3.9693E-02,6.0957E-01,1.4360E-01,1.8710E-01
426,3.2550E-02,4.2540E-02,6.3936E-01,1.5410E-01,1.9921E-01
