nm,sc,mc,lc,rh,mel
360,nan,nan,nan,nan,nan
361,nan,nan,nan,nan,nan
362,nan,nan,nan,nan,nan
363,nan,nan,nan,nan,nan
364,nan,nan,nan,nan,nan
365,nan,nan,nan,nan,nan
366,nan,nan,nan,nan,nan
367,nan,nan,nan,nan,nan
368,nan,nan,nan,nan,nan
369,nan,nan,nan,nan,nan
370,nan,nan,nan,nan,nan
371,nan,nan,nan,nan,nan
372,nan,nan,nan,nan,nan
373,nan,nan,nan,nan,nan
374,nan,nan,nan,nan,nan
375,nan,nan,nan,nan,nan
376,nan,nan,nan,nan,nan
377,nan,nan,nan,nan,nan
378,nan,nan,nan,nan,nan
379,nan,nan,nan,nan,nan
380,nan,nan,nan,0.000589,0.000918165
381,nan,nan,nan,0.000665,0.00104557
382,nan,nan,nan,0.000752,0.00117858
383,nan,nan,nan,0.000854,0.00132279
384,nan,nan,nan,0.000972,0.00148381
385,nan,nan,nan,0.001108,0.00166724
386,nan,nan,nan,0.001268,0.00188102
387,nan,nan,nan,0.001453,0.00212989
388,nan,nan,nan,0.001668,0.00241457
389,nan,nan,nan,0.001918,0.00273583
390,0.00614265,0.000358227,0.000407619,0.002209,0.00309442
391,0.0074428,0.00043866,0.000497068,0.002547,0.00350706
392,0.00901661,0.00053623,0.000604713,0.002939,0.00399078
393,0.010917,0.000654061,0.00073364,0.003394,0.00454679
394,0.0132053,0.000795649,0.000887247,0.003921,0.00517625
395,0.0159515,0.000964828,0.00106921,0.00453,0.00588035
396,0.0192347,0.00116572,0.0012834,0.00524,0.00669334
397,0.0231436,0.00140263,0.00153382,0.00605,0.00765102
398,0.027775,0.00167992,0.00182443,0.00698,0.00875694
399,0.0332339,0.0020018,0.00215896,0.00806,0.0100146
400,0.0396308,0.00237208,0.00254073,0.00929,0.0114277
401,0.0470801,0.00279433,0.00297282,0.0107,0.0130767
402,0.0557012,0.00327374,0.00345993,0.01231,0.0150397
403,0.0656137,0.0038166,0.00400793,0.01413,0.0173166
404,0.0769323,0.00443021,0.0046237,0.01619,0.0199071
405,0.0897612,0.00512316,0.00531546,0.01852,0.0228112
406,0.104188,0.00590458,0.00609138,0.02113,0.0263194
407,0.120273,0.00678005,0.00695291,0.02405,0.0305964
408,0.138044,0.0077526,0.00789634,0.0273,0.0354538
409,0.157485,0.00882286,0.008913,0.03089,0.0407028
410,0.17853,0.00998841,0.00998835,0.03484,0.046155
411,0.201077,0.0112452,0.0111054,0.03916,0.0517822
412,0.225091,0.0125949,0.0122607,0.0439,0.0577804
413,0.250566,0.0140425,0.0134578,0.049,0.0642972
414,0.277507,0.0155944,0.0147044,0.0545,0.0714801
415,0.305941,0.0172596,0.016013,0.0604,0.0794766
416,0.335858,0.0190467,0.0173958,0.0668,0.0891807
417,0.366981,0.0209545,0.0188452,0.0736,0.100756
418,0.398876,0.0229763,0.020344,0.0808,0.113256
419,0.430998,0.0251017,0.02187,0.0885,0.125732
420,0.462692,0.0273163,0.0233957,0.0966,0.137237
421,0.493357,0.0296062,0.0248961,0.1052,0.147446
422,0.523006,0.0319746,0.0263761,0.1141,0.157014
423,0.551939,0.034433,0.0278541,0.1235,0.166463
424,0.580599,0.0369983,0.0293551,0.1334,0.176316
425,0.60957,0.0396928,0.0309104,0.1436,0.187096
426,0.639359,0.0425402,0.0325498,0.1541,0.19921
427,0.669651,0.0455474,0.0342714,0.1651,0.212408
428,0.699829,0.0487161,0.036062,0.1764,0.226225
429,0.729177,0.0520467,0.0379052,0.1879,0.240199
430,0.756885,0.0555384,0.039781,0.1998,0.253865
431,0.782292,0.0591876,0.0416705,0.2119,0.267021
432,0.805666,0.0629819,0.0435728,0.2243,0.279976
433,0.827599,0.0669031,0.0454932,0.2369,0.293034
434,0.84878,0.0709285,0.0474385,0.2496,0.3065
435,0.869984,0.0750299,0.0494172,0.2625,0.320679
436,0.891761,0.0791769,0.0514343,0.2755,0.336016
